B10k_ID,Species_Name_Standard,Realm_fixed,realm_all
B10K-DU-001-67,Hirundo_rustica,Nearctic,Afrotropical Nearctic Oriental Palearctic Saharo-Arabian Sino-Japanese
B10K-DU-001-68,Thryothorus_ludovicianus,Nearctic,Nearctic Panamanian
B10K-DU-001-69,Cardinalis_cardinalis,Nearctic,Nearctic Panamanian
B10K-DU-001-70,Hylia_prasina,Afrotropical,
B10K-DU-001-71,Dyaphorophyia_castanea,Afrotropical,
B10K-DU-001-72,Pachyramphus_minor,Neotropical,
B10K-DU-001-74,Oenanthe_oenanthe,Palearctic,Nearctic Palearctic Saharo-Arabian
B10K-DU-001-75,Motacilla_alba,Palearctic,Nearctic Oriental Palearctic Saharo-Arabian Sino-Japanese
B10K-DU-001-77,Cinclus_mexicanus,Nearctic,Nearctic Panamanian
B10K-DU-001-78,Indicator_maculatus,Afrotropical,Afrotropical
B10K-DU-001-79,Ploceus_nigricollis,Afrotropical,Afrotropical
B10K-DU-002-01,Illadopsis_cleaveri,Afrotropical,Afrotropical
B10K-DU-002-02,Leucopsar_rothschildi,Oriental,Oriental
B10K-DU-002-03,Serilophus_lunatus,Oriental,Oriental Sino-Japanese
B10K-DU-002-05,Gymnorhina_tibicen,Australian,Australian Oceanina
B10K-DU-002-07,Oxyruncus_cristatus,Neotropical,Neotropical Panamanian
B10K-DU-002-08,Sinosuthora_webbiana,Palearctic,NA
B10K-DU-002-09,Locustella_ochotensis,Palearctic,Palearctic Sino-Japanese
B10K-DU-002-10,Aegithalos_caudatus,Palearctic,Palearctic Saharo-Arabian Sino-Japanese
B10K-DU-002-11,Aramus_guarauna,Neotropical,Nearctic Neotropical Panamanian
B10K-DU-002-13,Himantopus_himantopus,Neotropical,Madagascan Australian Afrotropical Neotropical Oriental Palearctic Saharo-Arabian Sino-Japanese
B10K-DU-002-14,Nycticryphes_semicollaris,Neotropical,Neotropical
B10K-DU-002-15,Toxostoma_redivivum,Nearctic,Nearctic
B10K-DU-002-16,Rynchops_niger,Neotropical,Nearctic Neotropical Panamanian
B10K-DU-002-18,Hippolais_icterina,Palearctic,Palearctic Saharo-Arabian
