ID,DC1_coef,DC1_p_value,DC1_sample_size,DC1_response,DC1_Ne_direction,IN1_coef,IN1_p_value,IN1_sample_size,IN1_response,IN1_Ne_direction
B10K-CU-031-22,0.690172103,0.000757404,20,Pos,decrease,0.85977157,5.89E-07,21,Pos,increase
B10K-CU-031-23,-0.067784282,0.758609803,23,No,not_significant,-0.960108969,4.26E-13,23,Neg,decrease
B10K-CU-031-38,0.88687448,1.50E-10,29,Pos,decrease,-0.962231633,3.27E-16,28,Neg,decrease
B10K-CU-031-40,-0.893212117,7.16E-11,29,Neg,increase,0.853562555,3.98E-09,29,Pos,increase
B10K-Dromaius_novaehollandiae,0.160182766,0.434406997,26,No,not_significant,-0.852815901,3.15E-08,26,Neg,decrease
B10K-DU-001-01,0.537948032,0.002613155,29,No,not_significant,0.958944089,3.41E-15,27,Pos,increase
B10K-DU-001-02,-0.832086538,3.58E-09,32,Neg,increase,-0.87189803,3.53E-10,30,Neg,decrease
B10K-DU-001-03,-0.884483539,8.69E-12,33,Neg,increase,0.966636575,1.06E-18,31,Pos,increase
B10K-DU-001-06,0.883616725,4.57E-11,31,Pos,decrease,-0.877961344,1.86E-10,30,Neg,decrease
B10K-DU-001-07,-0.800398445,6.48E-08,31,Neg,increase,-0.947315848,7.15E-15,29,Neg,decrease
B10K-DU-001-08,-0.860667053,1.70E-08,26,Neg,increase,0.959329411,1.10E-14,26,Pos,increase
B10K-DU-001-09,0.627780781,0.000119938,32,Pos,decrease,0.932513973,6.57E-14,30,Pos,increase
B10K-DU-001-15,0.861894084,3.10E-08,25,Pos,decrease,0.730996081,3.32E-05,25,Pos,increase
B10K-DU-001-16,0.878189801,3.73E-09,26,Pos,decrease,-0.938444727,1.42E-12,26,Neg,decrease
B10K-DU-001-17,-0.8876262,1.49E-09,26,Neg,increase,0.98725879,7.27E-20,25,Pos,increase
B10K-DU-001-18,-0.812931611,4.82E-08,30,Neg,increase,-0.901772563,2.44E-11,29,Neg,decrease
B10K-DU-001-19,-0.628960803,0.00044123,27,Neg,increase,-0.962594025,2.89E-16,28,Neg,decrease
B10K-DU-001-20,-0.839819391,4.32E-08,27,Neg,increase,-0.949995913,1.25E-13,26,Neg,decrease
B10K-DU-001-22,0.864288329,6.25E-09,27,Pos,decrease,-0.974714305,3.96E-17,26,Neg,decrease
B10K-DU-001-23,0.884587507,4.42E-09,25,Pos,decrease,-0.958753746,4.65E-14,25,Neg,decrease
B10K-DU-001-25,-0.815020685,1.24E-06,24,Neg,increase,-0.930477566,4.57E-11,24,Neg,decrease
B10K-DU-001-27,-0.858588108,1.66E-10,33,Neg,increase,0.969211874,1.40E-18,30,Pos,increase
B10K-DU-001-28,-0.882385444,5.44E-09,25,Neg,increase,0.978060177,3.60E-17,25,Pos,increase
B10K-DU-001-29,-0.877593095,9.58E-12,34,Neg,increase,-0.836150591,4.73E-09,31,Neg,decrease
B10K-DU-001-30,-0.825338246,2.00E-08,30,Neg,increase,-0.258232466,0.184583578,28,No,not_significant
B10K-DU-001-32,0.881573562,6.12E-07,19,Pos,decrease,-0.953040205,3.02E-10,19,Neg,decrease
B10K-DU-001-34,-0.86164793,3.90E-09,28,Neg,increase,-0.581396677,0.001175521,28,Neg,decrease
B10K-DU-001-35,-0.871740414,1.94E-11,34,Neg,increase,0.97136951,6.52E-21,33,Pos,increase
B10K-DU-001-36,0.780805554,5.82E-07,29,Pos,decrease,-0.966744434,2.55E-16,27,Neg,decrease
B10K-DU-001-37,-0.787069262,2.30E-05,21,Neg,increase,0.978700378,1.59E-14,21,Pos,increase
B10K-DU-001-40,0.898298378,5.99E-09,23,Pos,decrease,-0.972522691,1.74E-13,21,Neg,decrease
