species,family,order,unsexed_mass,b_brain_size,clutch_size,egg_mass,maximum_longevity_y,mortality_both,inc_duration,min_elevation,max_elevation,range_size_km2,migration,bill_total_culmen,bill_nares,bill_width,bill_depth,tarsus_length,kipps_distance,wing_chord,hand_wing_index,threat_status
Cardinalis_cardinalis,Cardinalidae,Passeriformes,42.7,1.515,3,4.58,28.5,0.375,12.5,0,2500,68000,1,17.79272727,12.703,8.527,11.582,23.8,14.23,92.81818182,15.27537134,LC
Cariama_cristata,Cariamidae,Cariamiformes,1400,11.15,2.4,76,NA,NA,27,0,2100,53500,1,66.7125,37.5775,15.205,17.7975,207,38.235,358.5,10.6789811,LC
Casuarius_casuarius,Casuariidae,Struthioniformes,44000,36.35,3.9,617,12,NA,50,40,800,6800,1,104.75,26.5,13.775,19.075,287.25,0.1,300.75,0.033337907,VU
Cathartes_aura,Cathartidae,Cathartiformes,1552,9.098,2,80,20.8,NA,39.5,0,3600,274200,2,52.26,27.5975,14.435,17.2225,55.9,139.85,511,27.41452094,LC
Catharus_fuscescens,Turdidae,Passeriformes,31.9,0.9,3.8,3.4,10.1,0.364,12,0,2500,51600,3,17.22111111,10.07625,4.2775,4.16125,28.81888889,26.98625,97.44444444,27.74377649,LC
Catharus_ustulatus,Turdidae,Passeriformes,30.3,0.792,3.3,3.6,12.08,0.43,12,0,2895,153000,3,16.32,9.5,4.1,4.025,27.82,27.425,96.8,28.51083413,LC
Centropus_bengalensis,Cuculidae,Cuculiformes,161.1,2.25,2.8,NA,NA,NA,NA,10,2000,76500,1,28.7,15.725,6.7,11.125,38.325,29.65,159.25,18.59217974,LC
Centropus_unirufus,Cuculidae,Cuculiformes,184.5,NA,NA,NA,NA,NA,NA,550,760,2500,1,37.295,24.2575,9.1725,15.055,41.75,22.385,167.4675,13.56750576,NT
Cephalopterus_ornatus,Cotingidae,Passeriformes,380,NA,1,36.6,NA,NA,NA,0,1650,48400,1,54.59,37.3,19.4875,19.2375,47.15555556,45.575,263.1111111,17.1463348,LC
Cepphus_grylle,Alcidae,Charadriiformes,378,3.34,1.7,50,29.92,0.153,31.5,0,20,81300,3,38.1,22.4,5.925,9.475,29.75,66.5,154,43.15813153,LC
Cercotrichas_coryphoeus,Muscicapidae,Passeriformes,20.4,0.72,3,NA,NA,NA,14,0,1300,10400,1,15.575,9.6,3.25,3.525,28.6,6.625,73.375,9.005356827, NA
