species,family,order,unsexed_mass,b_brain_size,clutch_size,egg_mass,maximum_longevity_y,mortality_both,inc_duration,min_elevation,max_elevation,range_size_km2,migration,bill_total_culmen,bill_nares,bill_width,bill_depth,tarsus_length,kipps_distance,wing_chord,hand_wing_index,threat_status
Geospiza_fortis,Emberizidae,Passeriformes,24,NA,4,NA,NA,0.22,12,0,1000,800,1,17.74,12.125,8.1,11.15,21.04,13.525,70.6,19.03296593,LC
Glareola_pratincola,Glareolidae,Charadriiformes,84.9,NA,3,10.1,NA,NA,18,0,2200,116900,3,20.2,9.95,4.925,6,31.15,110.6,182.25,60.67012992,LC
Glaucidium_brasilianum,Strigidae,Strigiformes,70.8,2.51,3.7,9.4,NA,NA,26,0,2200,125400,1,17.325,10.275,5.85,10.9,15.275,18.675,94.75,19.7465315,LC
Grallaria_varia,Formicariidae,Passeriformes,119,NA,2,NA,NA,NA,17,0,1550,31900,1,28.565,17.07,6.97,10.3525,50.0625,9.8475,117.5,8.352943441,LC
Grantiella_picta,Meliphagidae,Passeriformes,21.5,0.7,2.1,2.18,NA,NA,14,190,460,6800,3,16.71,8.95,3.4175,3.8875,17.57,29.5025,85.38,34.54294628,VU
Grus_americana,Gruidae,Gruiformes,5826,NA,2,209,40,0.18,32.5,0,945,6100,3,148.75,77.075,13.1,21.975,288.75,258.75,605.75,42.71799088,EN
Gymnogyps_californianus,Cathartidae,Cathartiformes,8450,NA,1,280,45,NA,NA,450,2000,1400,1,96.475,65.325,33.175,39.025,115.75,323.5,788,41.07197132,CR
Gymnorhina_tibicen,Cracticidae,Passeriformes,286.5,5.048,4,16.2,21,0.15,20,0,900,65800,1,60.7,35.65,12.4,16.525,57.775,101.025,268.125,37.69328428,LC
Halcyon_senegalensis,Alcedinidae,Coraciiformes,74.5,1.45,2.9,8.4,NA,NA,13.5,2,1500,131800,1,43.2,34.35,11.675,12.175,12.75,20.925,99.75,20.97777778,LC
Haliaeetus_albicilla,Accipitridae,Accipitriformes,4793,NA,1.9,142,42,NA,38,0,750,340000,2,75.8,46.15,22.9,34.225,94.525,227.25,598.125,38.01631482,LC
Haliaeetus_leucocephalus,Accipitridae,Accipitriformes,4740,17.921,2,117,48,0.107,35,0,2006,168800,3,76.025,48.2,23.95,34.1,81.675,248.75,601.75,41.38358163,LC
Heliornis_fulica,Heliornithidae,Gruiformes,132,NA,3,6.43,NA,NA,10.5,0,914,88200,1,32.325,16.275,4.175,6.775,22.4,51.325,141.75,36.24746303,LC
Hemignathus_wilsoni,Fringillidae,Passeriformes,28,NA,NA,1.5,NA,NA,NA,1340,2700,200,1,26.37,22.25,5.49,6.54,23.435,16.43,77.86,21.10285015, NA
Hemiprocne_comata,Hemiprocnidae,Caprimulgiformes,20.8,NA,1,NA,NA,NA,21,5,1000,25400,1,5.55,3.15,3.275,1.9,6.35,68.75,122.375,56.20015714,LC
Herpetotheres_cachinnans,Falconidae,Falconiformes,625,7.099,1,65,NA,NA,43,0,1800,120400,1,32.74125,18.2825,12.38125,20.38875,58.4725,50.9425,268.75,18.91901753,LC
Himantopus_himantopus,Recurvirostridae,Charadriiformes,161,1.9,3.7,21.8,12.17,NA,24.75,0,3200,244100,2,63.4,47.15,4.25,4.625,113.75,115.5,220.75,52.21125443,LC
Hippolais_icterina,Sylviidae,Passeriformes,13.2,0.483,4.6,1.7,10.83,NA,13,0,1500,107700,3,19.725,9.1,3.7,3.35,19.1,23.7,76.875,30.82891758,LC
Hirundo_rustica,Hirundinidae,Passeriformes,19.3,0.542,4.5,1.9,16,0.66,15.3,0,3048,567200,3,11.57125,6.2075,4.61375,2.69375,11.0475,57.40625,110.375,51.98520693,LC
Horornis_vulcanius,Sylviidae,Passeriformes,NA,NA,NA,NA,NA,NA,NA,0,3700,4900,1,13.73,7,2.725,2.725,22.8,7.375,50.9,14.35655043, NA
Hydrobates_tethys,Hydrobatidae,Procellariiformes,22.6,0.6,1,5.7,NA,NA,41.5,0,140,800,3,13.225,8.275,1.925,3.45,21.875,78.5,132.25,59.37724734,LC
Hylia_prasina,Sylviidae,Passeriformes,13.1,NA,1,1.98,NA,NA,NA,0,2100,37800,1,12.73858,7.925,3.125,3.45,18.31428,7.95,63.2858,12.58663633,LC
Hypocnemis_ochrogyna,Thamnophilidae,Passeriformes,12.3,NA,2,2.2,NA,NA,NA,100,1300,4400,1,15.425,8.775,4,4.05,19.9,4.7,55.375,8.488783193,LC
Hypocryptadius_cinnamomeus,Zosteropidae,Passeriformes,30,1.04,NA,NA,NA,NA,NA,1000,2500,800,1,17.55,10.275,4.15,5.5,21,19.725,89.625,22.00234895,LC
Ibidorhyncha_struthersii,Ibidorhynchidae,Charadriiformes,294,NA,4,37,NA,NA,NA,500,4400,46200,2,78,63.75,5.525,6.3,44.1,100.75,232,43.44983258,LC
Ifrita_kowaldi,Orthonychidae,Passeriformes,32.1,1.25,NA,NA,NA,NA,NA,2000,2900,2900,1,16.375,10,4.075,4.75,26.55,9.8,80.25,12.19271528,LC
Illadopsis_cleaveri,Timaliidae,Passeriformes,30.8,NA,2,3.7,NA,NA,NA,0,1800,11400,1,16.09,8.675,3.175,4.35,25.62166,4.2,70.1,6.124838776,LC
Indicator_maculatus,Indicatoridae,Piciformes,46.8,NA,2,NA,NA,NA,NA,0,2100,24200,1,13.325,7.625,4.625,5.8,15.5,19.2,98,19.63893076,LC
Irena_cyanogastra,Irenidae,Passeriformes,80.3,NA,NA,NA,NA,NA,NA,160,1500,4800,1,28,19.2625,8.55,11.5375,21.8125,28.05,132.02625,21.23068114,NT
Jacana_jacana,Jacanidae,Charadriiformes,108.3,NA,3.7,9.7,NA,NA,28,0,1500,121500,1,34.025,17.5,3.875,5.825,52.825,28.3,127.75,22.17520831,LC
Junco_hyemalis,Emberizidae,Passeriformes,18.6,0.853,4.1,2.13,11.33,0.51,12.8,0,3352,165300,3,11.98,7.75,4.525,5.125,20.9,16.5,75.2,22.12436869,LC
Lanius_ludovicianus,Laniidae,Passeriformes,51.8,1.399,5.1,4.6,12.5,NA,16,0,3000,84400,3,21.15,12.35,5.625,9.375,26.625,21.15,95,22.27728001,LC
Larus_smithsonianus,Laridae,Charadriiformes,1085,6.69,2.6,87.5,49,0.073,30,0,1341,140200,2,66.675,24.35,8.525,18.075,64.65,236.75,423.75,55.88318196,LC
Leiothrix_lutea,Timaliidae,Passeriformes,21.4,0.917,NA,2.77,15,NA,12.75,150,3400,28300,1,13.496,7.075,3.45,4.525,23.717,8.625,68,12.74622441,LC
Lepidothrix_coronata,Pipridae,Passeriformes,8.22,NA,2,NA,NA,0.42,18,900,1350,29600,1,10.42638889,6.520634921,3.673015873,3.416031746,13.9494697,10.43016667,57.03786364,18.39193479,LC
Leptocoma_aspasia,Nectariniidae,Passeriformes,8,NA,2.4,NA,NA,NA,NA,0,1400,21500,1,19.95748481,15.28,3.38,2.96,13.89324572,9.46,54.22399896,17.60154717,LC
Leptosomus_discolor,Leptosomidae,Leptosomiformes,255,NA,NA,NA,NA,NA,20,0,2050,7400,1,46.725,19.825,9.125,13.3,31.6,67.75,249.25,27.17349821,LC
Leucopsar_rothschildi,Sturnidae,Passeriformes,91.3,NA,3,7.2,25,NA,NA,0,240,200,1,31.676,17.95,6.525,8.925,35.166,26.075,131.6,19.93340598,CR
Limosa_lapponica,Scolopacidae,Charadriiformes,292.5,2.77,3.8,37,33.08,NA,20.5,0,400,26500,3,92.875,75.125,5.275,7.9,52.125,123,213.5,57.60003782,NT
Locustella_ochotensis,Sylviidae,Passeriformes,18.5,NA,5.5,2.2,NA,NA,NA,0,10,15800,3,16.15,9.375,2.925,3.45,24.5,20.45,69.375,29.53866253,LC
Lonchura_striata,Estrildidae,Passeriformes,12.3,0.463,5,0.95,10,NA,NA,0,2500,74700,1,12.1,8.3625,6.55,7.8625,12.9875,10.8625,50.9375,21.34487148,LC
Lophotis_ruficrista,Otididae,Otidiformes,714,NA,1.5,49,NA,NA,NA,250,1400,21500,1,38.3,22,8.725,8.25,83.95,96.525,257.75,37.46030633,LC
Loxia_curvirostra,Fringillidae,Passeriformes,40.6,1.415,3.4,2.95,16.08,NA,14.5,0,4100,319500,2,20.2,16.1,6.325,11.175,15.9,33.6,96.875,34.69451921,LC
Loxia_leucoptera,Fringillidae,Passeriformes,29,1.113,3.8,2.54,4,NA,14.5,120,2500,231700,3,19.225,13.4,4.225,8.575,15.375,30.625,85.75,35.73758478,LC
Machaerirhynchus_nigripectus,Machaerirhynchidae,Passeriformes,12,0.59,2,225,NA,NA,NA,1300,2600,4900,1,14.975,7.075,7.775,2.975,16.025,11.575,58.875,19.66705968,LC
Malurus_elegans,Maluridae,Passeriformes,9.6,0.567,2.5,1.11,NA,0.19,15,30,220,1500,1,14.075,6.15,2.925,2.6,22.675,5.475,49.25,11.0593754,LC
Manacus_manacus,Pipridae,Passeriformes,15.2,0.547,2,2.1,NA,0.263,18.5,0,1100,69900,1,11.716,6.57,4.226,3.648,18.56333333,8.17,52.5,15.69798372,LC
Melanocharis_versteri,Melanocharitidae,Passeriformes,15,0.535,NA,NA,NA,NA,NA,1700,2600,4500,1,12.45334,6,3.625,4.15,22.39,9.8,64.55,15.09421007,LC
Meleagris_gallopavo,Phasianidae,Galliformes,6050,7.973,11.2,78.8,13,0.394,28,3,2835,68800,1,50.8,25.85,17.475,15.3,149.25,115,447.5,25.98130925,LC
Melopsittacus_undulatus,Psittacidae,Psittaciformes,29,1.175,4.9,2.15,21,NA,19,5,300,52400,2,12.7,11.25,7.3,10.95,12.475,48.4,95.25,50.82055221,LC
Melospiza_melodia,Emberizidae,Passeriformes,20,0.927,4,2.62,12,0.451,12.6,0,3000,152400,2,13.425,8.5,5.175,6.85,21.2,13.525,65.75,20.63416854,LC
Menura_novaehollandiae,Menuridae,Passeriformes,980,9.679,1,61.5,NA,NA,50.2,10,1400,3900,1,42.57,16.625,6.65,7.5,109.18,5.675,284.1,1.970630487,LC
Merops_nubicus,Meropidae,Coraciiformes,46.4,NA,3.4,5.8,NA,NA,NA,800,2500,55600,2,38.175,28.25,6.3,8.1,13.65,57.55,143.5,40.10435143,LC
Mesembrinibis_cayennensis,Threskiornithidae,Pelecaniformes,756,6.24,2.5,44.5,NA,NA,NA,0,1200,97800,1,116.26625,92.49875,11.67,16.085,60.3625,76.525,298.25,24.94867571,LC
Mesitornis_unicolor,Mesitornithidae,Mesitornithiformes,148,NA,1,NA,NA,NA,NA,0,1200,1600,1,21.36666667,8.466666667,3.033333333,4.433333333,39.36666667,10.46666667,115,9.107669617,VU
Mionectes_macconnelli,Tyrannidae,Passeriformes,13.5,NA,3,NA,NA,NA,19,0,2000,29500,1,12.77,7.961666667,4.078333333,3.275,15.59666667,9.4975,58.5,16.48136874,LC
Mohoua_ochrocephala,Acanthizidae,Passeriformes,27.8,NA,3,3.55,NA,NA,20.75,10,500,1900,1,13.92,8.05,3.65,5.1,30.92,15.525,79.4,19.28154498,EN
Molothrus_ater,Icteridae,Passeriformes,43.4,1.145,4.4,3.12,16.92,NA,NA,0,3414,137300,3,17.15,11.075,5.35,8.75,24.25,33.9,102.75,32.97972379,LC
Motacilla_alba,Motacillidae,Passeriformes,21,0.53,5.5,2.3,13.67,0.498,12.6,0,2170,596200,3,15.9625,9.675,3.475,3.525,23.0875,26.8625,88.25,30.43598374,LC
Myiagra_hebetior,Monarchidae,Passeriformes,20.2,NA,2,2.5,NA,NA,NA,200,1500,1800,1,17.5225,10.7125,5.1525,4.27,22.06,9.345,70.17,13.28443999,VU
Mystacornis_crossleyi,Vangidae,Passeriformes,24.5,NA,NA,NA,NA,NA,NA,200,1650,1800,1,21.43,13.4,3.75,4.25,24.63,5.775,69.5,8.315359353,LC
Neodrepanis_coruscans,Philepittidae,Passeriformes,6.5,NA,NA,NA,NA,NA,NA,800,1500,2000,1,25.76,21.875,3.75,3.825,15.32,8.475,45.2,19.44116632,LC
Neopipo_cinnamomea,Tyrannidae,Passeriformes,7.7,NA,NA,NA,NA,NA,NA,0,700,12600,1,10.525,6.6,2.875,2.75,13.75,10.55,51,20.68594546,LC
Nesospiza_acunhae,Emberizidae,Passeriformes,28.6,NA,NA,NA,NA,NA,NA,40,449,100,1,15.4,10.325,5.325,7.8,24.675,16.625,83,20.01744784,VU
Nestor_notabilis,Psittacidae,Psittaciformes,867.5,14.4,2.5,26,47,NA,24.5,600,3000,1800,1,59.025,46.2,15.925,28.675,45.1,106.325,308.5,34.48747281,VU
Nicator_chloris,Pycnonotidae,Passeriformes,46.2,1.284,1.3,3.55,NA,NA,17.5,70,1500,37200,1,21.45126,11.6,3.975,6.375,27.34876,14.275,104.95,13.3223419,LC
Nipponia_nippon,Threskiornithidae,Pelecaniformes,1900,NA,3,NA,25.8,NA,29,100,2000,7600,1,170.25,145.75,18.825,22.675,79.125,142.825,394.75,36.21470956,EN
Nothocercus_julius,Tinamidae,Struthioniformes,NA,NA,NA,NA,NA,NA,NA,1700,3500,4400,1,32.955,10.045,4.6175,6.1475,58.7875,31.925,191.2525,16.7234717,LC
Nothocercus_nigrocapillus,Tinamidae,Struthioniformes,NA,NA,NA,NA,NA,NA,NA,1300,3000,2700,1,31.446,9.0575,4.5475,5.846,65.62,28.416,181.886,15.66157753,VU
Nothoprocta_ornata,Tinamidae,Struthioniformes,621.5,2.849,6,39,NA,NA,22,2000,4700,7700,1,30.926,18.056,7.334,7.098,38.316,48.444,185.554,26.12276858,LC
Nothoprocta_pentlandii,Tinamidae,Struthioniformes,303,NA,6.3,NA,NA,NA,21,200,4100,10500,1,27.88888889,14.65555556,5.944444444,5.866666667,36.95555556,33.51111111,148.2222222,22.63301117,LC
Nothoprocta_perdicaria,Tinamidae,Struthioniformes,458,NA,6.3,NA,NA,NA,NA,400,2000,3200,1,25.6875,13.5375,5.85,5.525,34.725,43.7625,162.75,26.86939481,LC
Notiomystis_cincta,Meliphagidae,Passeriformes,93.5,NA,4,3.1,NA,NA,15.75,60,240,500,1,20.025,9.025,3.625,3.975,26.85,25.75,102.125,25.18721149,VU
Numida_meleagris,Numididae,Galliformes,1299,4.08,8.4,39.4,NA,NA,25.5,0,3000,136300,1,27.275,17.55,11.75,13.875,69.125,52.525,248,21.1122201,LC
Nyctibius_bracteatus,Nyctibiidae,Caprimulgiformes,52,NA,NA,NA,NA,NA,30,0,600,1800,1,19.2575,5.85125,3.625,3.34375,7.4925,68.91,162.625,42.27868127,LC
Nyctibius_grandis,Nyctibiidae,Caprimulgiformes,547,NA,1,42,NA,NA,30,0,1200,73400,1,47.75,16.375,7.225,7.925,16.775,164,375.25,43.9684834,LC
Nycticryphes_semicollaris,Rostratulidae,Charadriiformes,76.6,NA,2,11.3,NA,NA,NA,10,500,25300,2,43.175,34.15,3.525,5.5,34.55,31.825,101.5,31.3460796,LC
Nyctiprogne_leucopyga,Caprimulgidae,Caprimulgiformes,27.3,0.46,NA,NA,NA,NA,NA,0,500,43200,1,10.725,4.3,2.125,2.275,12.5,67.475,135.75,49.58584542,LC
Oceanites_oceanicus,Hydrobatidae,Procellariiformes,32,0.71,1,9.4,NA,NA,38,0,NA,9500,3,16.075,7.075,2.975,3.75,34.675,86.55,147.75,58.57520983,LC
Odontophorus_gujanensis,Odontophoridae,Galliformes,314.5,NA,4,15.4,NA,NA,26,0,2000,60100,1,19.48166667,11.17833333,7.941666667,11.21,37.39666667,18.76833333,141.5833333,13.30067667,NT
Oenanthe_oenanthe,Muscicapidae,Passeriformes,23.2,0.639,5.8,2.67,10.08,0.54,13,0,3200,449600,3,15.4,9.875,3.675,3.6,28.2,31.275,93.625,33.41327111,LC
Onychorhynchus_coronatus,Tyrannidae,Passeriformes,14,0.5,2,1.76,NA,NA,NA,0,1400,53400,2,22.067,13.75583333,7.385833333,4.528333333,15.45884615,15.65333333,74.2,21.18605199,LC
Opisthocomus_hoazin,Opisthocomidae,Opisthocomiformes,696,3.89,3,29.35,NA,NA,32,20,1000,62300,1,31.2,15.7,10.1,13.65,55.425,47.675,323,14.76297274,LC
Oreocharis_arfaki,Melanocharitidae,Passeriformes,19.7,0.69,NA,NA,NA,NA,NA,2200,2700,4300,1,11.75,6.15,3.325,3.8,18.6,13.75,69.8,19.62620849,LC
Oreotrochilus_melanogaster,Trochilidae,Caprimulgiformes,9.1,NA,2,NA,NA,NA,NA,3100,4800,1200,1,23.35,17.925,2.575,2.4,8.075,41.95,71.75,58.48422832,LC
Origma_solitaria,Acanthizidae,Passeriformes,14.4,0.85,3,2.57,NA,NA,23.75,0,1110,1000,1,14.448,7.825,2.8,2.95,22.72,8.475,65.6,12.9921912,LC
Oriolus_oriolus,Oriolidae,Passeriformes,79,1.448,3.5,7.3,14.83,NA,16.5,0,2000,133100,3,27.925,18.25,7.325,8.025,21.6,58.125,151.375,38.39377802,LC
Orthonyx_spaldingii,Orthonychidae,Passeriformes,152,2.9,1,11.8,NA,NA,25,100,1100,700,1,22.23,11.625,4.975,6.675,42.54,13.45,122.1,11.15101116,LC
Oxylabes_madagascariensis,Sylviidae,Passeriformes,23.3,NA,2,NA,NA,NA,NA,200,1300,2000,1,17.13,9.6,3.1,4.4,21.99,5.1,65.2,7.824706694,LC
Oxyruncus_cristatus,Cotingidae,Passeriformes,42,NA,2,NA,NA,NA,19.5,500,1800,19900,1,11.14,3.425,2.975,2.475,13.07,80.9,115,67.33313275,LC
Pachycephala_philippinensis,Pachycephalidae,Passeriformes,22.3,NA,2.4,NA,NA,NA,NA,160,1500,5800,1,16.875,10.75,4.4,5.325,20.1,12.225,80.5,15.17764304,LC
Pachyramphus_minor,Cotingidae,Passeriformes,36.6,NA,4.9,4.05,NA,NA,NA,0,1000,60400,2,19.19666667,13.4825,8.365,7.59375,20.53555556,18.04,88.88888889,20.281566,LC
Pandion_haliaetus,Accipitridae,Accipitriformes,1485.5,9.235,2.8,72,32,NA,38,0,2530,447600,3,43.025,28.525,17.7,19.025,52.35,205.75,488.75,42.15807269,LC
Panurus_biarmicus,Timaliidae,Passeriformes,13.9,0.552,5.9,1.88,6.92,0.57,12,0,3050,55000,2,9.375,5.825,3.175,3.4,18.95,13.1,60,21.81132677,LC
Paradisaea_raggiana,Paradisaeidae,Passeriformes,219,NA,2,12.2,12.1,NA,18,0,1800,4000,1,36.45,28.1,9.225,10.9,41.59,37,186.5,19.68085106,LC
Pardalotus_punctatus,Pardalotidae,Passeriformes,8.7,0.355,4.1,1.43,NA,NA,19,10,1562,23800,1,7.04,4.275,3.4,3.875,17.1,13.7,55.44,24.82831009,LC
Parus_major,Paridae,Passeriformes,18.3,0.807,8.1,1.68,15.42,0.472,14,0,3660,274100,1,11.2125,8.25,4.05,4.3875,17.2125,13.0125,67.875,19.18394538,LC
Passer_domesticus,Passeridae,Passeriformes,27.7,0.858,4.1,2.89,23,0.39,12,0,2300,466600,1,13.6475,9.2425,6.46,7.66375,17.85625,18.2,72.6875,25.709883,LC
Passerina_amoena,Emberizidae,Passeriformes,15.5,NA,3.7,1.89,9.92,NA,NA,50,3000,38500,3,11.88571429,7.114285714,4.514285714,6.257142857,16.31428571,15.31428571,68.71428571,22.22613148,LC
Patagioenas_fasciata,Columbidae,Columbiformes,351.15,2.198994037,1.2,16.5,29.2,NA,19.5,420,3300,42100,1,25.45,18.85,8.125,6.9,25.6,74.65,205.875,36.2347931,LC
Pedionomus_torquatus,Pedionomidae,Charadriiformes,63.2,0.77,3.7,10,NA,NA,23,79,110,1200,1,16.05,7.475,3.325,3.775,24.75,26.15,86,30.5698077,EN
Pelecanoides_urinatrix,Pelecanoididae,Procellariiformes,141,1.69,1,21,9,NA,53,20,50,4800,2,28.625,13.075,6.4,6.65,22.425,56.775,119,47.71218494,LC
Pelecanus_crispus,Pelecanidae,Pelecaniformes,9550,NA,2,185,35.3,NA,31,0,10,12400,2,414,377,50.65,48.5,117.575,297.5,687.725,43.28592922,VU
Penelope_pileata,Cracidae,Galliformes,1260,NA,3,114,NA,NA,NA,20,600,6300,1,40.4975,17.47125,9.59625,11.6525,85.3525,30.965,321.125,9.643403016,VU
Peucedramus_taeniatus,Peucedramidae,Passeriformes,11,NA,3.6,1.47,NA,NA,NA,1000,3500,12000,2,13.95,8.15,2.975,2.875,18.725,19.275,70,27.55913582,LC
Phaethon_lepturus,Phaethontidae,Phaethontiformes,329.7,NA,1,45,NA,NA,41,20,260,1900,3,54.025,40.675,6.875,15.5,20.05,188.5,268,70.3792781,LC
Phaetusa_simplex,Laridae,Charadriiformes,235,3,2.4,NA,NA,NA,NA,0,300,57200,2,71.45,44.8,8.525,14.325,24.15,163.85,289.5,56.56018115,LC
Phainopepla_nitens,Bombycillidae,Passeriformes,22.1,0.799,2.5,2.58,NA,NA,14,0,2400,20400,1,13.6,8.05,4.475,4.325,16.775,16.625,98.5,16.87883995,LC
Phalacrocorax_auritus,Phalacrocoracidae,Suliformes,1817,NA,3.2,48,22.5,0.15,26.5,0,2054,54000,2,68.15,49.8,11.975,16.95,64.225,126.75,311.75,40.73005708,LC
Phalacrocorax_brasilianus,Phalacrocoracidae,Suliformes,1244.8,NA,3.3,42,12.6,NA,25.3,0,3600,189700,1,61.36333333,44.60666667,11.53333333,14.89833333,48.02833333,91.8375,276.125,32.38247449,LC
Phalacrocorax_carbo,Phalacrocoracidae,Suliformes,2571.2,8.902,3.7,58,27.17,0.121,29.5,0,853,191300,2,84.25,63.15,14.575,21.225,70.65,136.25,352.25,38.68346865,LC
Phalacrocorax_harrisi,Phalacrocoracidae,Suliformes,3050,NA,2.5,69.3,12.67,0.085,35,0,0,600,1,91.2,67.225,13.275,20.45,70.475,43.5,188.75,22.97719542,VU
Phalacrocorax_pelagicus,Phalacrocoracidae,Suliformes,1856.5,NA,3.5,44,17.83,NA,29.5,0,50,30900,1,51.75,38.8,8.525,10.375,54.75,86.975,258.25,33.65355922,LC
Phasianus_colchicus,Phasianidae,Galliformes,1135,3.556,11,31.5,27,0.745,25.5,0,3500,80800,1,38.475,22.05,13.075,11.1,61,54.7,238.75,22.90655636,LC
Pheucticus_melanocephalus,Cardinalidae,Passeriformes,47.2,NA,3.5,4.18,25,NA,13,0,3300,54500,3,18.36,13,8.775,11.725,21.7,23.4,99.4,23.48356121,LC
Phoenicopterus_ruber,Phoenicopteridae,Phoenicopteriformes,3065.8,10.8,1,142,44,0.027,29.5,0,100,4600,1,125.25,89.5,26.575,36.35,282,190.5,400.5,47.56492862,LC
Phylloscopus_trochilus,Sylviidae,Passeriformes,8.7,0.299,6.1,1.2,11.8,0.635,13.2,0,1800,241000,3,11.625,6.075,2.45,2.475,19.525,16.725,65,25.7244377,LC
Piaya_cayana,Cuculidae,Cuculiformes,102,1.826,2.4,11.3,NA,NA,18,0,3000,137100,1,32.64,18.92,8.606363636,10.42,35.166,15.10181818,144.7272727,10.43521156,LC
Picathartes_gymnocephalus,Picathartidae,Passeriformes,196,3.625,2,15.2,NA,NA,20,0,800,2500,1,34.14,18.25,6.125,10.4,62.794,7.175,155.8,4.502756285,VU
Picoides_pubescens,Picidae,Piciformes,21.6,1.208,4.6,2.5,11.92,NA,12,0,3657,166700,1,15.388,12.224,4.73,4.672,15.536,25.258,89.6,28.17223792,LC
Piprites_chloris,Pipridae,Passeriformes,16,0.98,NA,NA,NA,NA,NA,0,1100,57900,1,12.02,7.18,4.426,4.712,16.92,16.734,66,25.36405246,LC
Pitta_sordida,Pittidae,Passeriformes,64.5,1.232,3.2,6.55,NA,NA,15.5,0,1200,46500,3,24.457,14.633,6.197,7.959,38.08,18.36,102.4,17.92717809,LC
Ploceus_nigricollis,Ploceidae,Passeriformes,27.1,NA,1.7,2.32,NA,NA,NA,0,1800,46600,1,17.525,11.3,5.975,7.15,20.05,11.8,73.625,15.95874035,LC
Pluvianellus_socialis,Chionidae,Charadriiformes,84.3,NA,2,11.3,NA,NA,NA,0,1200,3100,2,17.13833333,10.98833333,2.938333333,3.456666667,18.98666667,70.82666667,136.5,51.92585291,NT
Podargus_strigoides,Podargidae,Caprimulgiformes,325.5,4.651,2,25,NA,NA,30,0,1500,49500,1,39.15,22.125,29.275,19.6,29.025,62.975,228.75,27.46799305,LC
Podiceps_cristatus,Podicipedidae,Podicipediformes,738.5,3.457,3.5,39.5,19.25,NA,28,0,3400,295500,1,58.4,35.4,6.525,10.8,59.8,80.075,182.75,43.84020697,LC
Podilymbus_podiceps,Podicipedidae,Podicipediformes,416,3.16,5.9,20.5,NA,NA,22.7,0,3200,199600,2,30.95,14.125,5.375,9.65,39.275,44.2,123.5,35.78235635,LC
Poecile_atricapillus,Paridae,Passeriformes,11.4,0.775,7,1.16,NA,0.413,12.5,0,3200,153900,1,9.7,6.825,3.175,3.9,16.62,11.625,63.6,18.23100597,LC
Polioptila_caerulea,Polioptilidae,Passeriformes,5.8,0.26,4,0.98,4.2,NA,NA,0,2500,73800,3,10.98714286,7.384285714,2.804285714,2.295714286,15.76428571,9.632857143,50.42857143,19.08536544,LC
Pomatorhinus_ruficollis,Timaliidae,Passeriformes,31.7,1.775,NA,3.94,NA,NA,NA,30,3500,36600,1,22.625,15.55,3.35,5.375,27.83333333,7.725,77.5,10.00654519,LC
Pomatostomus_ruficeps,Pomatostomidae,Passeriformes,57.8,2.35,4,4.15,NA,NA,20,70,200,8200,2,27.425,17.85,3.95,6.55,27.6,10.05,85.5,11.73243956,LC
Probosciger_aterrimus,Psittacidae,Psittaciformes,841,20.5,1,42.8,100,NA,30.75,0,1350,12400,1,89.475,72.975,30.225,84.9,31.775,99.875,345.25,28.92773083,LC
Promerops_cafer,Promeropidae,Passeriformes,34.9,1.174,2.1,3.81,NA,NA,17,0,800,2300,2,36.14,22.625,3.7,3.775,23.68,19.425,95,20.49806255,LC
Prunella_fulvescens,Prunellidae,Passeriformes,18.9,NA,NA,NA,NA,NA,NA,1600,3850,63300,2,14.4,7.925,3.825,3.975,20,15.5,75.625,20.50233664,LC
Prunella_himalayana,Prunellidae,Passeriformes,26.7,NA,NA,NA,NA,NA,NA,2300,5500,32400,2,13.425,7.95,4.275,4.325,21.4,27.4,90.625,30.25846481,LC
Pseudopodoces_humilis,Paridae,Passeriformes,45.5,NA,5,3.2,NA,NA,15.2,3100,3300,22400,2,24.575,18.325,5,5.9,28.425,13.15,86.625,15.16598522,LC
Psilopogon_haemacephalus,Ramphastidae,Piciformes,44.6,NA,2.8,4.1,NA,NA,13,0,1700,70100,1,18.6375,14.8,9.55,9.525,19.4875,19.8125,79.125,25.0825522,LC
Psophia_crepitans,Psophiidae,Gruiformes,1026,5.85,3,60.3,NA,NA,27.5,0,700,24700,1,42.125,18.4,7.125,12,133.95,26.5,275.25,9.624414279,NT
Psophodes_occidentalis,Eupetidae,Passeriformes,39.8,1.33,2.5,NA,NA,NA,17,20,460,13700,1,15.1,8.95,4.25,6.4,24.025,10.175,78.5,12.94595771,LC
Pterocles_burchelli,Pteroclididae,Pterocliformes,181.3,NA,3,14,NA,NA,NA,550,1650,12800,1,16.85,6.825,4.225,4.8,24.7,83.2,159.25,52.24083005,LC
Pterocles_gutturalis,Pteroclididae,Pterocliformes,338,NA,3,30,NA,NA,25,580,2200,10200,2,21.175,9.725,4.625,6.3,29.925,115,212.25,54.2066444,LC
Pteruthius_melanotis,Timaliidae,Passeriformes,13.3,NA,NA,NA,NA,NA,NA,40,2400,11300,1,10.7,5.45,3.575,3.975,18.225,10.9,58.5,18.64734264,LC
Ptilonorhynchus_violaceus,Ptilonorhynchidae,Passeriformes,219,4.646,1.9,20,21,NA,20,30,1000,5900,1,35.3,17.45,9.725,11.475,49.9,30.475,164,18.61055332,LC
Ptilorrhoa_leucosticta,Eupetidae,Passeriformes,49.2,1.59,NA,NA,NA,NA,NA,1750,2400,4300,1,21.725,11.85,3.8,4.45,30.9625,5.383333333,81.75,6.651032248,LC
