spcies_name,B10k_ID,Time_Ne_max,Time_Ne_min,Range_Ne,Var_Ne,Mean_Ne,SD_Ne,count_Ne
Geococcyx_californianus,B10K-CU-031-07,138094.8149,30701.40159,4.756341667,1.654095738,5.368024158,1.286116534,131
Geospiza_fortis,APP-023,32236.29893,151305.8055,0.988271688,0.114073499,1.980456827,0.337747685,138
Glareola_pratincola,B10K-CU-031-08,63651.4524,215408.6096,13.45114765,13.92974713,20.29334052,3.732257646,152
Glaucidium_brasilianum,B10K-DU-008-63,51229.40499,987398.3649,45.53203506,194.1619823,15.109596,13.93420189,189
Grallaria_varia,B10K-DU-001-02,38258.55042,699497.5476,8.584816938,7.880268419,7.171102908,2.807181579,192
Grantiella_picta,B10K-DU-029-50,73497.03821,989973.9038,18.22024534,27.17363896,19.62453236,5.212834062,169
Grus_americana,B10K-DU-012-65,65511.54748,596244.4667,0.813688923,0.079551017,1.374086935,0.282047898,192
Gymnorhina_tibicen,B10K-DU-002-05,77179.05845,994723.6568,24.25245679,60.08854019,22.01251864,7.75167983,157
Halcyon_senegalensis,B10K-DU-024-03,433685.9076,59828.9642,24.43490869,79.27772585,20.74725979,8.90380401,159
Haliaeetus_albicilla,OUT-0040,30137.39647,478114.6812,0.882772849,0.07806191,0.931859193,0.279395616,206
Haliaeetus_leucocephalus,APP-025,NA,NA,NA,NA,NA,NA,0
Heliornis_fulica,B10K-DU-001-55,589196.4922,131991.9461,12.57394918,19.86224499,8.905694382,4.456707865,174
Hemignathus_wilsoni,OUT-0035,30356.32968,290950.147,4.454897424,2.571404603,4.089495395,1.603559978,206
Hemiprocne_comata,B10K-DU-001-23,325071.3761,30065.13006,22.43263334,48.22263552,20.8036107,6.944251977,166
Herpetotheres_cachinnans,B10K-DU-005-78,225552.5444,30830.1509,8.779630589,5.728035532,8.501757462,2.393331471,156
Himantopus_himantopus,B10K-DU-002-13,66546.63716,410279.3664,12.19917716,19.15894815,13.74960246,4.377093574,152
Hippolais_icterina,B10K-DU-002-18,60874.37913,991065.3666,13.92692555,12.23377373,16.08647208,3.497681194,175
Hirundo_rustica,B10K-DU-001-67,184357.9982,993977.9318,44.27627378,220.4639101,26.4866051,14.84802715,183
Horornis_vulcanius,B10K-DU-029-69,282536.0986,30127.23196,5.784080889,2.372458659,6.292869068,1.54027876,90
Hydrobates_tethys,B10K-DU-001-32,288913.4566,46818.81216,11.76715057,10.51642724,14.18465802,3.242904137,137
Hylia_prasina,B10K-DU-001-70,47575.38028,998441.0005,58.90045151,288.1320609,26.97596231,16.97445319,167
Hypocryptadius_cinnamomeus,B10K-DU-002-83,30788.16615,274187.6339,5.169883427,2.722014374,5.885476821,1.649852834,115
Ibidorhyncha_struthersii,B10K-DU-030-25,447700.0713,30431.51493,0.686361634,0.032430662,1.58714043,0.180085152,142
Ifrita_kowaldi,B10K-DU-029-41,187519.173,513528.5348,7.918256397,7.158195752,10.26203079,2.675480471,170
Illadopsis_cleaveri,B10K-DU-002-01,213721.0629,993266.0635,79.20384927,707.0772297,48.98395469,26.59092382,163
Indicator_maculatus,B10K-DU-001-78,292553.238,990649.6694,12.12638209,11.36456895,14.24379475,3.371137634,179
Jacana_jacana,B10K-DU-002-59,328286.4243,30229.5758,10.00334414,8.182592492,11.92131143,2.860523115,170
Lanius_ludovicianus,B10K-DU-001-65,75869.17582,357582.949,12.34932927,21.35791663,6.121574576,4.621462608,200
Larus_smithsonianus,B10K-DU-002-28,367714.2656,30410.93201,2.276746713,0.32547511,3.531111954,0.57050426,162
Leiothrix_lutea,B10K-DU-002-43,330935.113,67507.00674,21.61860255,58.01837444,17.23253183,7.616979351,166
Lepidothrix_coronata,NCBI-008,157956.6108,999594.383,95.80794166,1260.882354,51.28205107,35.50890528,157
Leptocoma_aspasia,B10K-DU-001-35,62352.18568,532970.6704,33.35147086,136.8542674,13.67570268,11.69847287,216
Leptosomus_discolor,APP-026,404521.9145,992717.941,6.111303949,3.60756545,12.42830817,1.899359221,167
Leucopsar_rothschildi,B10K-DU-002-02,268093.2784,49639.08639,0.515696767,0.036834104,0.751066668,0.19192213,127
Limosa_lapponica,OUT-0016,31072.66925,607585.2404,9.129978796,4.391815754,6.265071812,2.095665945,161
Locustella_ochotensis,B10K-DU-002-09,83773.78386,30421.35724,18.94399755,24.58977809,19.03786177,4.958808132,181
Lonchura_striata,NCBI-031,98085.61143,999479.8925,52.22520774,267.8924028,21.42965132,16.36741894,207
Lophotis_ruficrista,B10K-CU-031-23,996289.8257,85800.92314,8.326115898,3.835513856,6.078627147,1.958446797,158
Loxia_curvirostra,OUT-0011,35422.23643,991643.2472,11.50710374,11.52145156,8.339528949,3.394326378,200
Loxia_leucoptera,B10K-DU-001-19,34302.60739,991611.2808,82.25600795,534.9410431,35.91377278,23.12879251,194
Machaerirhynchus_nigripectus,B10K-DU-029-43,92837.70164,986659.8569,32.53937065,87.27322822,31.54956312,9.342014142,159
Malurus_elegans,B10K-DU-029-44,68600.16518,999527.8431,7.26972705,6.778838974,6.769203391,2.603620359,184
Manacus_manacus,OUT-0047,689699.7699,30860.31229,8.878158023,4.531990011,10.46286467,2.128847108,171
Melanocharis_versteri,B10K-DU-029-37,171120.0946,560666.3038,39.89636233,199.9066828,37.27617164,14.13883598,148
Melopsittacus_undulatus,APP-028,30330.46193,139477.7877,6.759793783,2.230916627,6.584788863,1.49362533,181
Melospiza_melodia,OUT-0008,102694.9875,686927.9817,17.1645862,35.99939373,12.88741503,5.999949478,192
Menura_novaehollandiae,B10K-CU-030-46,103363.7353,30680.16921,3.611328314,0.580573102,3.426162317,0.761953478,168
Merops_nubicus,APP-029,734423.384,31023.80201,12.90801645,19.80738175,12.36426672,4.450548477,168
Mesembrinibis_cayennensis,B10K-DU-001-44,205388.0993,31121.00388,12.90060298,13.50880056,9.477563957,3.675432024,157
Mesitornis_unicolor,APP-030,425750.8703,30528.11988,1.511512522,0.135366336,3.63297252,0.367921643,187
Mionectes_macconnelli,B10K-DU-003-16,511831.9384,30386.10908,17.50161819,23.28524611,13.08473783,4.825478848,182
Mohoua_ochrocephala,B10K-DU-030-22,129263.7257,30153.18791,12.84006807,11.55281406,9.83026476,3.39894308,165
Molothrus_ater,OUT-0049,151594.9444,984430.4969,28.23200352,88.73700728,16.34833283,9.420032234,183
Motacilla_alba,B10K-DU-001-75,133364.1632,30151.12597,24.9676104,61.14760029,13.56286339,7.819693107,193
Mystacornis_crossleyi,B10K-DU-002-82,457129.8232,30709.16094,10.52959764,13.27370916,8.597673323,3.643310193,171
Neodrepanis_coruscans,B10K-DU-002-79,614439.1104,30014.80734,7.334004404,4.415697001,6.292997193,2.101355991,125
Neopipo_cinnamomea,B10K-DU-004-15,461713.1401,30058.41191,7.788167322,7.37049986,7.16717364,2.714866453,188
Nesospiza_acunhae,OUT-0053,131429.0563,53419.39116,0.223407352,0.005734283,0.671861431,0.075725047,109
Nestor_notabilis,APP-031,345575.3485,79278.80239,0.725430424,0.061939012,1.901529455,0.248875496,190
Nicator_chloris,B10K-DU-002-40,177636.7928,30473.32609,11.45019337,11.15867489,10.53331707,3.340460281,161
Nothocercus_julius,B10K-Nothocercus_julius,263026.7972,30556.97167,3.491002511,0.854223843,4.731465664,0.924242307,191
Nothocercus_nigrocapillus,B10K-Nothocercus_nigrocapillus,56441.61611,994968.9965,7.628664688,4.043684517,8.520095433,2.010891473,180
Nothoprocta_ornata,B10K-Nothoprocta_ornata,455065.5691,35791.58828,7.341956862,5.013741592,12.18235771,2.239138582,163
Nothoprocta_pentlandii,B10K-Nothoprocta_pentlandii,455150.6547,37002.68758,16.20445464,21.9558582,16.71212861,4.685707865,164
Nothoprocta_perdicaria,OUT-0030,79124.99859,996955.0278,23.16270206,76.73361774,16.05728901,8.759772699,201
Notiomystis_cincta,B10K-DU-029-75,89755.68467,30241.06869,8.760009755,7.990574292,7.859018597,2.826760388,171
Numida_meleagris,OUT-0062,108898.2969,30824.79764,15.4767484,12.251218,15.61216456,3.500173995,181
Nyctibius_bracteatus,B10K-CU-031-10,989961.5965,375941.2304,17.36152387,16.7527639,15.76493108,4.093014036,149
Nyctibius_grandis,B10K-DU-001-56,994412.5889,31363.35235,9.510859465,3.192602912,6.754761121,1.786785637,144
Nycticryphes_semicollaris,B10K-DU-002-14,31042.0463,995360.0015,13.05095458,10.4937747,8.668324646,3.239409622,180
Nyctiprogne_leucopyga,B10K-DU-005-01,798568.2986,31201.96491,27.1531014,78.86378867,30.50432306,8.880528625,139
Oceanites_oceanicus,B10K-CU-031-11,545032.5876,34198.39469,3.942787783,2.052208301,4.592261473,1.432553071,155
Odontophorus_gujanensis,B10K-DU-001-53,196151.0128,989030.4014,64.46442361,539.664856,25.10671225,23.23068781,190
Oenanthe_oenanthe,B10K-DU-001-74,41724.584,148448.9797,51.64258517,221.7051702,19.70718591,14.8897673,179
Onychorhynchus_coronatus,B10K-DU-028-75,75101.82603,358628.9674,6.507342122,5.26107381,5.213569784,2.293703078,202
Opisthocomus_hoazin,APP-033,84006.90018,30228.05663,0.02270733,6.40E-05,0.233116634,0.008000113,79
Oreocharis_arfaki,B10K-DU-029-42,34672.66692,997545.0061,96.16669626,537.415504,62.3245694,23.18222388,143
Origma_solitaria,B10K-DU-029-52,34707.97754,518124.5439,11.41068859,14.4355784,7.38690078,3.799418166,211
Oriolus_oriolus,B10K-DU-002-24,132968.0248,898331.6753,31.8282515,131.4846574,19.1941166,11.46667595,185
Orthonyx_spaldingii,B10K-DU-029-32,547981.2341,30140.22295,3.862554056,1.209280602,4.766129147,1.099672952,177
Oxyruncus_cristatus,B10K-DU-002-07,134786.4308,991210.8105,65.77704131,588.4303703,34.36960846,24.25758377,182
Pachycephala_philippinensis,B10K-DU-001-28,42750.3582,165860.6499,17.13715436,31.6303068,16.70449216,5.624082752,164
Pachyramphus_minor,B10K-DU-001-72,161462.7443,30733.0912,59.7892602,274.0618162,50.29247242,16.55481248,151
Pandion_haliaetus,B10K-DU-012-58,48984.6947,340405.5715,0.479427734,0.033719903,1.084192719,0.183629799,146
Panurus_biarmicus,B10K-DU-030-18,30011.95116,452783.1733,6.940949447,6.520742287,7.53578445,2.553574414,201
Paradisaea_raggiana,B10K-DU-002-22,994006.6066,30790.61498,7.477222177,3.362773789,6.423017015,1.833786735,174
Pardalotus_punctatus,B10K-DU-029-51,68664.87967,987040.3959,87.25695186,551.4452397,56.95639029,23.4828712,157
Parus_major,NCBI-022,72436.08824,441438.7469,8.321219833,9.632349705,7.231504086,3.103602698,202
Passer_domesticus,NCBI-021,135900.198,30410.56583,19.84802312,31.64200671,14.84535336,5.625122817,195
Passerina_amoena,OUT-0017,225742.1407,37158.28131,75.12331947,686.2986376,42.64334171,26.19730211,164
Patagioenas_fasciata,NCBI-019,107374.503,999463.9028,19.94758218,39.72239666,13.2975846,6.302570639,172
Pedionomus_torquatus,B10K-DU-029-80,62809.1762,998979.084,27.75363051,81.73990438,16.62559034,9.041012354,184
Pelecanoides_urinatrix,B10K-DU-012-45,198513.8273,38853.60663,10.89196077,11.34393999,10.09843036,3.368076601,154
Pelecanus_crispus,APP-034,66881.72726,30401.87961,0.202698828,0.002097892,0.802018059,0.04580275,180
Penelope_pileata,B10K-DU-001-08,838488.7712,200675.9028,4.880276395,2.589732692,6.066936778,1.609264643,167
Peucedramus_taeniatus,B10K-DU-002-52,48738.43108,998125.405,18.48590398,27.36249721,24.53215521,5.230917435,171
Phaethon_lepturus,APP-035,324468.3691,30173.14029,4.632861359,2.321147881,3.772758798,1.523531385,184
Phalacrocorax_auritus,NCBI-028,93814.21061,30149.4721,1.822876497,0.307245176,2.683977093,0.55429701,191
Phalacrocorax_brasilianus,NCBI-030,87285.58589,30184.74963,4.88521716,1.364510467,9.625253825,1.168122625,161
Phalacrocorax_carbo,APP-036,140881.5422,997699.5791,1.189195688,0.151098868,2.532728101,0.388714378,194
Phalacrocorax_harrisi,NCBI-029,60942.14467,203730.0225,0.155964122,0.002494826,0.479321439,0.049948233,113
Phalacrocorax_pelagicus,NCBI-027,121505.776,30000.71138,1.119517988,0.082578855,2.502338443,0.287365368,194
Phasianus_colchicus,OUT-0045,54677.88014,997651.8903,28.25317444,74.25502115,24.10614088,8.617135322,162
Pheucticus_melanocephalus,OUT-0018,161935.6499,999027.4159,26.01094154,71.84819668,19.44527673,8.476331558,170
Phoenicopterus_ruber,APP-037,795204.0074,30254.29138,7.362890255,3.062287975,8.174130444,1.74993942,133
